Farm,Field,Crop,Activity Name,Date Due,Date & Time Started,Date & Time Completed,Active Ingredient,Cumulative Area (acre),Total Application Rate (gal/acre),Volume Rate (gal/acre),Harvested Weight (ton),Canal Level PSI,Flow Meter,Rain Meter,Sentek 1 Sensor Depth,Solar Radiation,Temp,Wind Direction
Merced College Farm,MC03,Pasture,Compost Application,1/31/2021,,,Calcium,2.86,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC03,Pasture,Compost Application,1/31/2021,,,Copper,2.86,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC03,Pasture,Compost Application,1/31/2021,,,Iron,2.86,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC03,Pasture,Compost Application,1/31/2021,,,Magnesium,2.86,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC03,Pasture,Compost Application,1/31/2021,,,Manganese,2.86,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC03,Pasture,Compost Application,1/31/2021,,,Nitrogen,2.86,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC03,Pasture,Compost Application,1/31/2021,,,Phosphate,2.86,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC03,Pasture,Compost Application,1/31/2021,,,Potash,2.86,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC03,Pasture,Compost Application,1/31/2021,,,Sodium,2.86,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC03,Pasture,Compost Application,1/31/2021,,,Sulfur,2.86,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC03,Pasture,Compost Application,1/31/2021,,,Zinc,2.86,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC03,Pasture,Compost Application,1/31/2021,,,,2.86,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC03,Pasture,Flood Irrigation - Well,2/1/2021,,,Water,2.86,100,"13,577.14",0,0,0,0,0,0,0,0
Merced College Farm,MC03,Pasture,Flood Irrigation - Well,2/1/2021,,,,2.86,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC03,Pasture,Flood Irrigation - Well,3/1/2021,,,Water,2.86,100,"13,577.14",0,0,0,0,0,0,0,0
Merced College Farm,MC03,Pasture,Flood Irrigation - Well,3/1/2021,,,,2.86,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC03,Pasture,Flood Irrigation - Well,3/31/2021,,,Water,5.72,100,"13,577.14",0,0,0,0,0,0,0,0
Merced College Farm,MC03,Pasture,Flood Irrigation - Well,3/31/2021,,,,5.72,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC03,Pasture,Soil Sampling,1/2/2021,,,,2.86,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC04,Pasture,Compost Application,1/31/2021,,,Aluminium,2.8,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC04,Pasture,Compost Application,1/31/2021,,,Boron,2.8,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC04,Pasture,Compost Application,1/31/2021,,,Calcium,2.8,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC04,Pasture,Compost Application,1/31/2021,,,Copper,2.8,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC04,Pasture,Compost Application,1/31/2021,,,Iron,2.8,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC04,Pasture,Compost Application,1/31/2021,,,Magnesium,2.8,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC04,Pasture,Compost Application,1/31/2021,,,Manganese,2.8,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC04,Pasture,Compost Application,1/31/2021,,,Nitrogen,2.8,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC04,Pasture,Compost Application,1/31/2021,,,Phosphate,2.8,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC04,Pasture,Compost Application,1/31/2021,,,Potash,2.8,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC04,Pasture,Compost Application,1/31/2021,,,Sodium,2.8,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC04,Pasture,Compost Application,1/31/2021,,,Sulfur,2.8,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC04,Pasture,Compost Application,1/31/2021,,,Zinc,2.8,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC04,Pasture,Compost Application,1/31/2021,,,,2.8,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC04,Pasture,Flood Irrigation - Well,2/1/2021,,,Water,2.8,100,"13,577.14",0,0,0,0,0,0,0,0
Merced College Farm,MC04,Pasture,Flood Irrigation - Well,2/1/2021,,,,2.8,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC04,Pasture,Flood Irrigation - Well,3/1/2021,,,Water,2.8,100,"13,577.14",0,0,0,0,0,0,0,0
Merced College Farm,MC04,Pasture,Flood Irrigation - Well,3/1/2021,,,,2.8,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC04,Pasture,Flood Irrigation - Well,3/31/2021,,,Water,5.61,100,"13,577.14",0,0,0,0,0,0,0,0
Merced College Farm,MC04,Pasture,Flood Irrigation - Well,3/31/2021,,,,5.61,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC04,Pasture,Soil Sampling,1/2/2021,,,,2.8,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC05,Oats - spring,Baling,3/23/2021,,,,3.2,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC05,Oats - spring,Close Drains,1/10/2021,,,,3.2,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC05,Oats - spring,Close Drains,2/28/2021,,,,3.2,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC05,Oats - spring,Compost Application,10/13/2020,,,Aluminium,3.2,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC05,Oats - spring,Compost Application,10/13/2020,,,Boron,3.2,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC05,Oats - spring,Compost Application,10/13/2020,,,Calcium,3.2,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC05,Oats - spring,Compost Application,10/13/2020,,,Copper,3.2,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC05,Oats - spring,Compost Application,10/13/2020,,,Iron,3.2,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC05,Oats - spring,Compost Application,10/13/2020,,,Magnesium,3.2,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC05,Oats - spring,Compost Application,10/13/2020,,,Manganese,3.2,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC05,Oats - spring,Compost Application,10/13/2020,,,Nitrogen,3.2,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC05,Oats - spring,Compost Application,10/13/2020,,,Phosphate,3.2,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC05,Oats - spring,Compost Application,10/13/2020,,,Potash,3.2,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC05,Oats - spring,Compost Application,10/13/2020,,,Sodium,3.2,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC05,Oats - spring,Compost Application,10/13/2020,,,Sulfur,3.2,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC05,Oats - spring,Compost Application,10/13/2020,,,Zinc,3.2,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC05,Oats - spring,Compost Application,10/13/2020,,,,3.2,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC05,Oats - spring,Disc with Flat Roller,10/14/2020,,,,3.2,0,0,0,0,0,0,0,0,0,0
Merced College Farm,MC05,Oats - spring,Disc with Ring Roller,4/1/2021,,,,3.2,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC05,Oats - spring,Flood Irrigation - Well,10/30/2020,,,Water,3.2,100,"13,577.14",0,0,0,0,0,0,0,0
Merced College Farm,MC05,Oats - spring,Flood Irrigation - Well,10/30/2020,,,,3.2,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC05,Oats - spring,Flood Irrigation - Well,11/30/2020,,,Water,3.2,100,"13,577.14",0,0,0,0,0,0,0,0
Merced College Farm,MC05,Oats - spring,Flood Irrigation - Well,11/30/2020,,,,3.2,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC05,Oats - spring,Flood Irrigation - Well,1/16/2021,,,Water,3.2,100,"13,577.14",0,0,0,0,0,0,0,0
Merced College Farm,MC05,Oats - spring,Flood Irrigation - Well,1/16/2021,,,,3.2,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC05,Oats - spring,Flood Irrigation - Well,2/18/2021,,,Water,3.2,100,"13,577.14",0,0,0,0,0,0,0,0
Merced College Farm,MC05,Oats - spring,Flood Irrigation - Well,2/18/2021,,,,3.2,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC05,Oats - spring,Fungicide Application,1/13/2021,,,Chlorothalonil,3.2,0,1.25,0,0,0,0,0,0,0,0
Merced College Farm,MC05,Oats - spring,Fungicide Application,1/13/2021,,,,3.2,0,0,0,0,0,0,0,0,0,0
Merced College Farm,MC05,Oats - spring,Harrow Bed,3/28/2021,,,,3.2,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC05,Oats - spring,Make Flood Irrigation Checks,10/16/2020,,,,3.2,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC05,Oats - spring,Open Drains,10/18/2020,,,,3.2,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC05,Oats - spring,Open Drains,1/14/2021,,,,3.2,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC05,Oats - spring,Planting - Drill - Oats,10/15/2020,,,,3.2,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC05,Oats - spring,Raking,3/21/2021,,,,3.2,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC05,Oats - spring,Soil Sampling,10/12/2020,,,,3.2,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC05,Oats - spring,Swathing,3/20/2021,,,,3.2,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC06,Oats - spring,Baling,3/23/2021,,,,1.82,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC06,Oats - spring,Close Drains,1/10/2021,,,,1.82,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC06,Oats - spring,Close Drains,2/28/2021,,,,1.82,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC06,Oats - spring,Compost Application,10/13/2021,,,Aluminium,1.82,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC06,Oats - spring,Compost Application,10/13/2021,,,Boron,1.82,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC06,Oats - spring,Compost Application,10/13/2021,,,Calcium,1.82,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC06,Oats - spring,Compost Application,10/13/2021,,,Copper,1.82,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC06,Oats - spring,Compost Application,10/13/2021,,,Iron,1.82,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC06,Oats - spring,Compost Application,10/13/2021,,,Magnesium,1.82,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC06,Oats - spring,Compost Application,10/13/2021,,,Manganese,1.82,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC06,Oats - spring,Compost Application,10/13/2021,,,Nitrogen,1.82,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC06,Oats - spring,Compost Application,10/13/2021,,,Phosphate,1.82,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC06,Oats - spring,Compost Application,10/13/2021,,,Potash,1.82,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC06,Oats - spring,Compost Application,10/13/2021,,,Sodium,1.82,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC06,Oats - spring,Compost Application,10/13/2021,,,Sulfur,1.82,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC06,Oats - spring,Compost Application,10/13/2021,,,Zinc,1.82,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC06,Oats - spring,Compost Application,10/13/2021,,,,1.82,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC06,Oats - spring,Disc with Flat Roller,10/14/2021,,,,1.82,0,0,0,0,0,0,0,0,0,0
Merced College Farm,MC06,Oats - spring,Disc with Ring Roller,4/1/2021,,,,1.82,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC06,Oats - spring,Flood Irrigation - Well,10/30/2020,,,Water,1.82,100,"13,577.14",0,0,0,0,0,0,0,0
Merced College Farm,MC06,Oats - spring,Flood Irrigation - Well,10/30/2020,,,,1.82,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC06,Oats - spring,Flood Irrigation - Well,11/30/2020,,,Water,1.82,100,"13,577.14",0,0,0,0,0,0,0,0
Merced College Farm,MC06,Oats - spring,Flood Irrigation - Well,11/30/2020,,,,1.82,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC06,Oats - spring,Flood Irrigation - Well,1/16/2021,,,Water,1.82,100,"13,577.14",0,0,0,0,0,0,0,0
Merced College Farm,MC06,Oats - spring,Flood Irrigation - Well,1/16/2021,,,,1.82,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC06,Oats - spring,Flood Irrigation - Well,2/18/2021,,,Water,1.82,100,"13,577.14",0,0,0,0,0,0,0,0
Merced College Farm,MC06,Oats - spring,Flood Irrigation - Well,2/18/2021,,,,1.82,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC06,Oats - spring,Fungicide Application,1/13/2021,,,Chlorothalonil,1.82,0,1.25,0,0,0,0,0,0,0,0
Merced College Farm,MC06,Oats - spring,Fungicide Application,1/13/2021,,,,1.82,0,0,0,0,0,0,0,0,0,0
Merced College Farm,MC06,Oats - spring,Harrow Bed,3/28/2021,,,,1.82,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC06,Oats - spring,Make Flood Irrigation Checks,10/16/2020,,,,1.82,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC06,Oats - spring,Open Drains,10/18/2020,,,,1.82,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC06,Oats - spring,Open Drains,1/14/2021,,,,1.82,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC06,Oats - spring,Planting - Drill - Oats,10/15/2020,,,,1.82,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC06,Oats - spring,Raking,3/21/2021,,,,1.82,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC06,Oats - spring,Soil Sampling,10/12/2021,,,,1.82,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC06,Oats - spring,Swathing,3/20/2021,,,,1.82,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC07a,Pasture,Compost Application,1/31/2021,,,Aluminium,6.57,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC07a,Pasture,Compost Application,1/31/2021,,,Boron,6.57,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC07a,Pasture,Compost Application,1/31/2021,,,Calcium,6.57,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC07a,Pasture,Compost Application,1/31/2021,,,Copper,6.57,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC07a,Pasture,Compost Application,1/31/2021,,,Iron,6.57,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC07a,Pasture,Compost Application,1/31/2021,,,Magnesium,6.57,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC07a,Pasture,Compost Application,1/31/2021,,,Manganese,6.57,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC07a,Pasture,Compost Application,1/31/2021,,,Nitrogen,6.57,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC07a,Pasture,Compost Application,1/31/2021,,,Phosphate,6.57,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC07a,Pasture,Compost Application,1/31/2021,,,Potash,6.57,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC07a,Pasture,Compost Application,1/31/2021,,,Sodium,6.57,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC07a,Pasture,Compost Application,1/31/2021,,,Sulfur,6.57,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC07a,Pasture,Compost Application,1/31/2021,,,Zinc,6.57,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC07a,Pasture,Compost Application,1/31/2021,,,,6.57,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC07a,Pasture,Flood Irrigation - Well,2/1/2021,,,Water,6.57,100,"13,577.14",0,0,0,0,0,0,0,0
Merced College Farm,MC07a,Pasture,Flood Irrigation - Well,2/1/2021,,,,6.57,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC07a,Pasture,Flood Irrigation - Well,3/1/2021,,,Water,6.57,100,"13,577.14",0,0,0,0,0,0,0,0
Merced College Farm,MC07a,Pasture,Flood Irrigation - Well,3/1/2021,,,,6.57,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC07a,Pasture,Flood Irrigation - Well,3/31/2021,,,Water,13.15,100,"13,577.14",0,0,0,0,0,0,0,0
Merced College Farm,MC07a,Pasture,Flood Irrigation - Well,3/31/2021,,,,13.15,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC07a,Pasture,Soil Sampling,1/2/2021,,,,6.57,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC07b,Pasture,Compost Application,1/31/2021,,,Aluminium,2.22,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC07b,Pasture,Compost Application,1/31/2021,,,Boron,2.22,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC07b,Pasture,Compost Application,1/31/2021,,,Calcium,2.22,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC07b,Pasture,Compost Application,1/31/2021,,,Copper,2.22,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC07b,Pasture,Compost Application,1/31/2021,,,Iron,2.22,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC07b,Pasture,Compost Application,1/31/2021,,,Magnesium,2.22,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC07b,Pasture,Compost Application,1/31/2021,,,Manganese,2.22,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC07b,Pasture,Compost Application,1/31/2021,,,Nitrogen,2.22,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC07b,Pasture,Compost Application,1/31/2021,,,Phosphate,2.22,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC07b,Pasture,Compost Application,1/31/2021,,,Potash,2.22,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC07b,Pasture,Compost Application,1/31/2021,,,Sodium,2.22,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC07b,Pasture,Compost Application,1/31/2021,,,Sulfur,2.22,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC07b,Pasture,Compost Application,1/31/2021,,,Zinc,2.22,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC07b,Pasture,Compost Application,1/31/2021,,,,2.22,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC07b,Pasture,Flood Irrigation - Well,2/1/2021,,,Water,2.22,100,"13,577.14",0,0,0,0,0,0,0,0
Merced College Farm,MC07b,Pasture,Flood Irrigation - Well,2/1/2021,,,,2.22,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC07b,Pasture,Flood Irrigation - Well,3/1/2021,,,Water,2.22,100,"13,577.14",0,0,0,0,0,0,0,0
Merced College Farm,MC07b,Pasture,Flood Irrigation - Well,3/1/2021,,,,2.22,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC07b,Pasture,Flood Irrigation - Well,3/31/2021,,,Water,4.44,100,"13,577.14",0,0,0,0,0,0,0,0
Merced College Farm,MC07b,Pasture,Flood Irrigation - Well,3/31/2021,,,,4.44,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC07b,Pasture,Soil Sampling,1/2/2021,,,,2.22,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC08,Pasture,Compost Application,1/31/2021,,,Aluminium,9.7,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC08,Pasture,Compost Application,1/31/2021,,,Boron,9.7,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC08,Pasture,Compost Application,1/31/2021,,,Calcium,9.7,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC08,Pasture,Compost Application,1/31/2021,,,Copper,9.7,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC08,Pasture,Compost Application,1/31/2021,,,Iron,9.7,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC08,Pasture,Compost Application,1/31/2021,,,Magnesium,9.7,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC08,Pasture,Compost Application,1/31/2021,,,Manganese,9.7,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC08,Pasture,Compost Application,1/31/2021,,,Nitrogen,9.7,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC08,Pasture,Compost Application,1/31/2021,,,Phosphate,9.7,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC08,Pasture,Compost Application,1/31/2021,,,Potash,9.7,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC08,Pasture,Compost Application,1/31/2021,,,Sodium,9.7,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC08,Pasture,Compost Application,1/31/2021,,,Sulfur,9.7,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC08,Pasture,Compost Application,1/31/2021,,,Zinc,9.7,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC08,Pasture,Compost Application,1/31/2021,,,,9.7,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC08,Pasture,Flood Irrigation - Well,2/1/2021,,,Water,9.7,100,"13,577.14",0,0,0,0,0,0,0,0
Merced College Farm,MC08,Pasture,Flood Irrigation - Well,2/1/2021,,,,9.7,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC08,Pasture,Flood Irrigation - Well,3/1/2021,,,Water,9.7,100,"13,577.14",0,0,0,0,0,0,0,0
